time,Ax,Ay,Az,A_mag,active,activity
2025-11-09T17:17:13.146110,0.694365144,-0.119165592,0.037285618,0.70550238,1,walking
2025-11-09T17:17:13.671018,1.030880094,-0.115305983,-0.040251777,1.038089323,1,walking
2025-11-09T17:17:14.195900,1.000574231,0.018209444,-0.015184801,1.000855111,1,walking
2025-11-09T17:17:14.720694,1.10967505,-0.331203163,-0.076888122,1.160597275,1,walking
2025-11-09T17:17:15.245515,1.040335417,-0.099626295,-0.050857034,1.046331504,1,walking
2025-11-09T17:17:15.770324,0.937538326,-0.185261488,-0.02579006,0.956015198,1,walking
2025-11-09T17:17:16.295119,0.86019814,-0.089977264,0.041428462,0.865882825,1,walking
2025-11-09T17:17:16.820063,1.252960443,-0.17392388,0.080419958,1.267527814,1,walking
2025-11-09T17:17:17.344877,0.880563557,-0.037148785,0.065798149,0.883799529,1,walking
2025-11-09T17:17:17.869884,0.848560691,-0.268243194,0.054344397,0.89160696,1,walking
2025-11-09T17:17:18.394716,1.011242032,-0.17199406,-0.084842063,1.029267011,1,walking
2025-11-09T17:17:18.919560,0.68345505,-0.355566978,-0.016630972,0.770594102,1,walking
2025-11-09T17:17:19.444392,0.967844069,-0.224098861,-0.121719435,1.000878645,1,walking
2025-11-09T17:17:19.969364,1.016333342,-0.141117156,-0.018077144,1.026242806,1,walking
2025-11-09T17:17:20.494433,0.905293047,-0.091907069,0.003655453,0.90995372,1,walking
2025-11-09T17:17:21.019624,0.861167908,-0.075262479,0.079445176,0.868093395,1,walking
2025-11-09T17:17:21.544506,1.0771873,-0.097696491,0.133058473,1.089762194,1,walking
2025-11-09T17:17:22.069336,0.940205216,-0.164516062,0.070428386,0.957084918,1,walking
2025-11-09T17:17:22.594188,1.115251184,-0.131468117,0.086756073,1.12631953,1,walking
2025-11-09T17:17:23.119047,1.054639697,-0.28609392,0.104545951,1.097745179,1,walking
2025-11-09T17:17:23.644408,0.842257142,-0.056929313,0.094310679,0.849430718,1,walking
2025-11-09T17:17:24.169248,0.939720392,-0.293813169,0.248327091,1.015414663,1,walking
2025-11-09T17:17:24.694106,0.95499444,-0.189362332,0.081638448,0.977004253,1,walking
